measure_id,measure_name,location_id,location,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2004,58.24949696230584,60.265860283150396,56.11105278807303
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2004,60.8084478434485,63.412051789053365,57.94930449328909
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2004,59.48657803069481,61.741304769598074,56.964033041477364
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1992,56.09424981190217,58.02480218666439,53.993825267315515
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1992,58.52580083277086,61.02256957755304,55.68326190965078
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1992,57.27473838489606,59.45278860401784,54.88944325597247
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2017,62.15973957269582,64.38264060123774,59.741397965186714
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2017,64.58439254440977,67.5145238146645,61.35796872979903
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2017,63.34280911056133,65.96202038645849,60.56182925577102
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2012,60.81812101551465,62.93796602756934,58.50586135908468
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2012,63.4550227700775,66.26792991508275,60.394369337365475
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2012,62.09821110445617,64.52587458648064,59.46251590908595
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1997,56.86676633283107,58.76751680099868,54.76495271493261
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1997,59.3416554469057,61.925536287890644,56.49535446587411
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1997,58.063676312816675,60.27822871482841,55.65046126604032
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2000,57.34910509990488,59.32927559456774,55.24685320079188
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2000,59.835695693088674,62.35968173470972,57.035976416308536
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2000,58.55043781007386,60.75266057895954,56.0792255922194
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2005,58.54310526485036,60.547553827160556,56.38418256421996
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2005,61.098115303984535,63.73396618962357,58.14638708128004
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2005,59.77830339729382,62.09928112311285,57.258913434539004
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2008,59.48648046664156,61.483765110105544,57.3272230400548
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2008,62.135393788622245,64.77571788511517,59.19041670192667
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2008,60.76861938070336,63.120628082889496,58.23690103455778
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1993,56.15596254829831,58.16451944768129,54.020941823258156
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1993,58.663549441161734,61.157905945952905,55.871393027836596
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1993,57.36979488090465,59.56946111544897,54.9254481267655
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2013,61.11799015755108,63.24479772946577,58.84583728544697
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2013,63.71641629791833,66.56781530877558,60.63501679306846
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2013,62.381047977562964,64.85892416143466,59.76591871927063
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2016,61.919029829081936,64.16038030092298,59.585773390693596
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2016,64.38666721735056,67.27604562533854,61.234679590407026
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2016,63.122089646991526,65.70119526501945,60.38025213650067
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1996,56.66970555562436,58.567459856482685,54.6427419823326
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1996,59.18500212262485,61.71704324050202,56.43015804159786
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1996,57.885271157119426,60.073631446053724,55.49558986007223
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1998,57.0358576850527,58.999045143659366,54.896285393689745
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1998,59.50162348364547,62.06076683276063,56.7379994916473
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1998,58.22856004841056,60.48433350084673,55.76651521250637
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2001,57.58736801102787,59.56146993476846,55.48051215551006
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2001,60.06555923727626,62.68755333892877,57.24662618014955
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2001,58.78479129572684,61.08351329892179,56.334042853238564
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2009,59.918856412447035,61.95199111885992,57.7396774863824
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2009,62.556879505341634,65.28055820626166,59.59019935020844
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2009,61.19672852059657,63.53928575555921,58.65161828745711
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2014,61.40543457993183,63.6034382716364,59.045229023749464
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2014,63.95412639240185,66.77738025681785,60.86334135855454
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2014,62.646276918009356,65.1545169734342,59.948907255468995
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1990,55.770139768461405,57.687716482103774,53.662290659487425
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1990,58.20764783059171,60.78669849710468,55.33299512943922
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1990,56.955828652614706,59.16829586691276,54.4421697103725
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2002,57.7907949085473,59.80384528948741,55.67603326442608
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2002,60.27688145154976,62.84517897458706,57.4149804473998
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2002,58.992293401656475,61.2522780139948,56.53705115512325
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2018,62.36012858073892,64.56249666061849,59.79869790564703
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2018,64.7325466860899,67.62297184821823,61.57671415797368
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2018,63.51849674023889,66.00605548910765,60.759715683490064
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1994,56.0443204242924,58.05896867915988,53.9549115984612
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1994,58.66813409005325,61.276339507438095,55.853539186476524
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1994,57.3112431691788,59.5573372622929,54.89723587721661
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2006,58.96463115491536,60.966000717956774,56.733132627538026
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2006,61.482199508688424,64.17725367761247,58.55496938905063
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2006,60.18455369336444,62.4990226431949,57.67733363652593
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2010,60.11818990378225,62.127660084115284,57.87408994423284
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2010,62.77289978258194,65.50590520152693,59.76702156248954
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2010,61.404293631248464,63.78166650455255,58.78440804283525
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1991,55.88558365861489,57.839373828669494,53.75814938210124
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1991,58.34826886161165,60.87743642487182,55.5339399136295
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1991,57.08171612711195,59.28110106533207,54.6988898575428
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1999,57.16296552612828,59.104868344306794,55.04743390866027
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1999,59.622441757501036,62.19041385898232,56.72926695881607
